2021-05-08 09:24:17.068 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/getBoxTemp],methods=[GET]}" onto public com.quaero.qbcTest.dto.MessageCode.ResponseVO com.quaero.qbcTest.Controller.AcBoardController.getBoxTemp() throws java.lang.Exception
2021-05-08 09:24:17.069 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/getACStates],methods=[GET]}" onto public com.quaero.qbcTest.dto.MessageCode.ResponseVO com.quaero.qbcTest.Controller.AcBoardController.getACStates() throws java.lang.Exception
2021-05-08 09:24:17.069 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/halogenLamps/{turn}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.halogenLamps(int) throws java.lang.Exception
2021-05-08 09:24:17.069 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/getSlotTemp],methods=[GET]}" onto public com.quaero.qbcTest.dto.MessageCode.ResponseVO com.quaero.qbcTest.Controller.AcBoardController.getSlotTemp() throws java.lang.Exception
2021-05-08 09:24:17.070 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/getThreshold],methods=[GET]}" onto public com.quaero.qbcTest.dto.MessageCode.ResponseVO com.quaero.qbcTest.Controller.AcBoardController.getThreshold() throws java.lang.Exception
2021-05-08 09:24:17.070 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/slotWaterOut],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.slotWaterOut() throws java.lang.Exception
2021-05-08 09:24:17.071 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/thresholdWrite/{turn}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.thresholdWrite(int) throws java.lang.Exception
2021-05-08 09:24:17.071 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/getACData],methods=[GET]}" onto public com.quaero.qbcTest.dto.MessageCode.ResponseVO com.quaero.qbcTest.Controller.AcBoardController.getACData() throws java.lang.Exception
2021-05-08 09:24:17.071 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/anhydrousMode],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.anhydrousMode() throws java.lang.Exception
2021-05-08 09:24:17.072 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/slotWaterIn],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.slotWaterIn() throws java.lang.Exception
2021-05-08 09:24:17.072 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/waterMode],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.waterMode() throws java.lang.Exception
2021-05-08 09:24:17.073 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/thresholdRead],methods=[GET]}" onto public com.quaero.qbcTest.dto.MessageCode.ResponseVO com.quaero.qbcTest.Controller.AcBoardController.thresholdRead() throws java.lang.Exception
2021-05-08 09:24:17.073 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/slotValueOut/{turn}],methods=[POST]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.slotValueOut(int) throws java.lang.Exception
2021-05-08 09:24:17.074 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/slotValueIn/{turn}],methods=[POST]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.slotValueIn(int) throws java.lang.Exception
2021-05-08 09:24:17.074 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/boxValueIn/{turn}],methods=[POST]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.boxValueIn(int) throws java.lang.Exception
2021-05-08 09:24:17.075 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/slotCyclePump/{turn}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.slotCyclePump(int) throws java.lang.Exception
2021-05-08 09:24:17.075 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/vacuumPump/{turn}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.vacuumPump(int) throws java.lang.Exception
2021-05-08 09:24:17.075 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/boxCyclePump/{turn}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.boxCyclePump(int) throws java.lang.Exception
2021-05-08 09:24:17.076 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/gearPump/{turn}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.gearPump(int) throws java.lang.Exception
2021-05-08 09:24:17.076 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/acReset],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.acReset() throws java.lang.Exception
2021-05-08 09:24:17.077 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/acboard/acStop],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.AcBoardController.acStop() throws java.lang.Exception
2021-05-08 09:24:17.079 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/adboard/simulationTest],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.ADBoardController.simulationTest() throws java.lang.Exception
2021-05-08 09:24:17.080 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/adboard/manualSetPhotoADFactor/{turn}],methods=[POST]}" onto public boolean com.quaero.qbcTest.Controller.ADBoardController.manualSetPhotoADFactor(byte[]) throws java.lang.Exception
2021-05-08 09:24:17.080 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/adboard/autoSetPhotoADFactor],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.ADBoardController.autoSetPhotoADFactor() throws java.lang.Exception
2021-05-08 09:24:17.081 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/adboard/WriteADDeviceFactor/{turn}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.ADBoardController.writeADDeviceFactor(byte[]) throws java.lang.Exception
2021-05-08 09:24:17.081 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/adboard/readADDeviceFactor],methods=[GET]}" onto public com.quaero.qbcTest.dto.MessageCode.ResponseVO com.quaero.qbcTest.Controller.ADBoardController.readADDeviceFactor() throws java.lang.Exception
2021-05-08 09:24:17.081 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/adboard/readADData/{turn}],methods=[GET]}" onto public com.quaero.qbcTest.dto.MessageCode.ResponseVO com.quaero.qbcTest.Controller.ADBoardController.readADData(int) throws java.lang.Exception
2021-05-08 09:24:17.082 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/adboard/getADPara1],methods=[GET]}" onto public com.quaero.qbcTest.dto.MessageCode.ResponseVO com.quaero.qbcTest.Controller.ADBoardController.getADPara1() throws java.lang.Exception
2021-05-08 09:24:17.082 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/adboard/getADPara],methods=[GET]}" onto public com.quaero.qbcTest.dto.MessageCode.ResponseVO com.quaero.qbcTest.Controller.ADBoardController.getADPara() throws java.lang.Exception
2021-05-08 09:24:17.082 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/adboard/setADPara],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.ADBoardController.setADPara(com.quaero.qbcTest.Controller.DeviceDebugADParaSetting) throws java.lang.Exception
2021-05-08 09:24:17.083 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/adboard/getPhotoADFactor],methods=[GET]}" onto public com.quaero.qbcTest.dto.MessageCode.ResponseVO com.quaero.qbcTest.Controller.ADBoardController.getPhotoADFactor() throws java.lang.Exception
2021-05-08 09:24:17.093 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/version],methods=[GET]}" onto public java.lang.String com.quaero.qbcTest.Controller.MainboardController.version() throws java.lang.Exception
2021-05-08 09:24:17.094 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/init],methods=[GET]}" onto public java.lang.String com.quaero.qbcTest.Controller.MainboardController.getInit() throws java.lang.Exception
2021-05-08 09:24:17.094 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/mechanicalActionCheck/{index}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.mechanicalActionCheck(int) throws java.lang.Exception
2021-05-08 09:24:17.095 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/reagentBarcodeScan],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.reagentBarcodeScan() throws java.lang.Exception
2021-05-08 09:24:17.095 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/addSampleContinue],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.addSampleContinue() throws java.lang.Exception
2021-05-08 09:24:17.096 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/reagentMultiPosition/{moduleID}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.reagentMultiPosition(int) throws java.lang.Exception
2021-05-08 09:24:17.096 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/thermostatWashOut],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.thermostatWashOut() throws java.lang.Exception
2021-05-08 09:24:17.096 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/debugSystemSettings],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.debugSystemSettings() throws java.lang.Exception
2021-05-08 09:24:17.097 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/injectionPumpExhaust],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.injectionPumpExhaust() throws java.lang.Exception
2021-05-08 09:24:17.097 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/pumpAccuracySample/{sampleSize}/{count}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.pumpAccuracySample(int,int) throws java.lang.Exception
2021-05-08 09:24:17.097 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/reagentConsumption],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.reagentConsumption() throws java.lang.Exception
2021-05-08 09:24:17.098 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/reagentProbePollute/{moduleID}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.reagentProbePollute(int) throws java.lang.Exception
2021-05-08 09:24:17.098 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/reagentRemainVolumeScan/{positionFirst}/{positionSecond}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.reagentRemainVolumeScan(java.util.List<com.quaero.qbcTest.dto.entity.ReagentInfo>,java.util.List<com.quaero.qbcTest.dto.entity.ReagentInfo>) throws java.lang.Exception
2021-05-08 09:24:17.099 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/debugADDataComplete],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.debugADDataComplete() throws java.lang.Exception
2021-05-08 09:24:17.099 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/sampleProbePollute/{moduleID}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.sampleProbePollute(int) throws java.lang.Exception
2021-05-08 09:24:17.100 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/reagentMultiPositionPlus],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.reagentMultiPositionPlus() throws java.lang.Exception
2021-05-08 09:24:17.100 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/pumpAccuracyReagent1/{sampleSize}/{count}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.pumpAccuracyReagent1(int,int) throws java.lang.Exception
2021-05-08 09:24:17.101 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/reagentPrebeTouch/{samplenum}/{count}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.reagentPrebeTouch(int,int) throws java.lang.Exception
2021-05-08 09:24:17.101 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/sendDataCompleted],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.sendDataCompleted() throws java.lang.Exception
2021-05-08 09:24:17.102 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/sendManualTestClean/{index}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.sendManualTestClean(int) throws java.lang.Exception
2021-05-08 09:24:17.102 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/sendManualTestBlank],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.SendManualTestBlank() throws java.lang.Exception
2021-05-08 09:24:17.103 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/pumpAccuracyReagent2/{sampleSize}/{count}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.pumpAccuracyReagent2(int,int) throws java.lang.Exception
2021-05-08 09:24:17.103 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/probeDeclineCheck],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.probeDeclineCheck() throws java.lang.Exception
2021-05-08 09:24:17.103 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/pipelineExhaustCleaningLiquid],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.PipelineExhaustCleaningLiquid() throws java.lang.Exception
2021-05-08 09:24:17.104 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/reagentProbeHorizontalCheck/{index}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.reagentProbeHorizontalCheck(byte) throws java.lang.Exception
2021-05-08 09:24:17.104 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/instrumentSerialNumberRead],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.instrumentSerialNumberRead() throws java.lang.Exception
2021-05-08 09:24:17.104 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/reagentProbeVerticalCheck/{index}],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.reagentProbeVerticalCheck(byte) throws java.lang.Exception
2021-05-08 09:24:17.105 | restartedMain | INFO  | o.s.w.s.h.AbstractHandlerMethodMapping$MappingRegistry:AbstractHandlerMethodMapping.java(543) | Mapped "{[/mainboard/photoelectricStabilityCheck],methods=[GET]}" onto public boolean com.quaero.qbcTest.Controller.MainboardController.photoelectricStabilityCheck() throws java.lang.Exception
